80,心皮多数，分离，包于瓶状花托内；花大形，芳香，萼片与花瓣成数组,蜡梅科Calycanthaceae
80,心皮 5 个或 10 个，分离；花小形，萼片与花瓣各 5 片，花柱甚长；裂果为增大的花被所包,马桑科 Coriariaceae
81,心皮螺旋状排列，成球果状；果实为蓇葖果或翅果，萼片与花瓣成数组,木兰科Magnoliaceae
81,心皮轮状排列或簇生，不成球果状,82
82,心皮多数，仅基部连合，排成一轮，果实为蓇葖果，各有1 颗种子；灌木或小乔木,木兰科 Magnoliaceae
82,心皮完全分离，轮状排列或簇生；果实为蓇葖果或浆果状,蔷薇科Rosaceae
83,矮小灌木；叶为二回三出复叶，花大，单生；心皮 3 个，围以肉质花盘,毛茛科Ranunculaceae
83,高大灌木或乔木；叶为羽状或三出复叶,84
84,果实为蒴果；心皮几分离；叶有挥发油腺,芸香科Rutaceae
84,果实为翅果或核果；心皮完全分离,苦木科simarubaceae
85,雄蕊通常多于 10 枚，无定数,86
85,雄蕊 10 枚或少于 10 枚,101
86,花萼多少附生于子房上；子房多室或数室,87
86,花萼不附生于子房上,92
87,萼片 2；果实为蒴果，有特立中央胎座或基底胎座；叶肉质,马齿苋科Portulacaceae
87,植物不具上列习性,88
88,萼片 2-3；雌雄花同株；子房下位；果实为蒴果，叶多斜形,秋海棠科 Beqoniaceae
88,萼片 4-5；花两性,89
89,叶对生或轮生；子房每室含数颗或多数胚珠,90
89,叶互生；子房每室含 1 颗最多数胚珠,91
90,雄蕊离心发育；于房下位或半下位，1-3 室；花序边缘有时具大形不育花；果实为蒴果,虎耳草科 Saxifragaceae
90,心皮向心发育；子房下位，多室 l 花完全发育；果实为球形浆果,石榴科Punicaceae
91,花瓣 5-10，狭长，向外卷；子房下位；果实为核果，顶端有增大的萼片；含 1 颗种子,八角枫科 Alangiaceae
91,花瓣 5，不向外卷；子房下位；果实为梨果；子房每室含2 颗最多数种子,蔷薇科Rosaceae
92,子房 1 室,93
92,子房多室,95
93,胚珠多数,94
93,胚珠 1 枚；果实为核果；雄蕊着生花萼筒上,蔷薇科Rosaceae
94,草本；萼片 2，早落；植株含乳汁,罂粟科 Papaveraceae
94,灌木或小乔木；萼片4-5，有时 3-6；植株无乳状液汁,大风子科Flacourtiaceae
95,叶对生；花两性或单性，黄色，雄蕊连合成数束,藤黄科Guttiferae
95,叶互生,96
96,花药有 1 花粉囊，花丝常结合成筒，着生于花瓣基部；多为草本,锦葵科 Malvaceae
96,花药有 2 花粉囊，花丝不连合成筒状,97
97,萼片镊合状排列,98
97,萼片覆瓦状排列,100
98,花药顶孔开裂，花瓣顶端多细裂,杜英科Elaeacarpaceae
98,花药不为顶孔开裂；花瓣顶端通常不细裂,99
99,雄蕊分离或基部连合，或连合成数束，无退化雄蕊；花序梗有时与舌状苞片下部连合,椴树科 Tiliacea
99,雄蕊一部份连合成筒状，有时有 5 枚退化雄蕊,梧桐科 Sterculiaceae
100,花药基生；子房每室有 1 至数颗胚珠；果实为蒴果或核果状小浆果；直立灌木或乔木,茶科 Theaceae
100,花药背部着生；子房每室有多数胚珠；果实为浆果；攀援灌木,猕猴桃科Actinidiaceae
101,雄蕊与花瓣同数而对生,102
101,雄蕊与花瓣互生而同数或较多,106
102,子房 l 室,103
102,子房 2-5 室,105
103,寄生灌木；花瓣分离或连合成筒状，子房下位；果实为浆果,桑寄生科Loranthaceae
103,非寄生植物,104
104,花药瓣裂，灌木或草本,小檗科Berberidaceae
104,花药直裂，小草本；叶肉质,马齿苋科Portulacaceae
105,直立灌木或乔木，无卷须；花萼4-5 裂，花成聚伞花序,鼠李科 Rhamnaceae
105,攀援灌木，多有卷须，花萼无或极小，花成与叶对生的簇生花序,葡萄科Vitaceae
106,花萼与子房分离,107
106,花萼或萼筒多少附着于子房上,147
107,叶有透明油腺点，叶为羽状或三出复叶，或只有1 小叶；草本、灌木或乔木,芸香科 Rutaceae
107,叶无透明腺点,108
108,子房 1 室,109
108,子房 2 室最多室,121
109,果实为豆荚；花不整齐为蝶形或整齐，叶多为羽状复叶，稀为掌状复叶或单叶,豆科 Leguminosae
109,果实非豆荚；花不为蝶形,110
110,花冠不整齐,111
110,花冠整齐,113
111,雄蕊 6 枚，连合成 2 组；萼片 2，脱落,罂粟科 Papaveraceae
111,雄蕊 5 或 8 枚,112
112,雄蕊 5 枚，分离，下面花瓣大，有距或有爪，蒴果3 室,堇菜科 Violaceae
112,雄蕊 8 枚，连合成鞘状，鞘在上面开裂，花瓣无距；蒴果2 裂，或为翅果,远志科 Polygalaceae
113,胚珠 1 颗；叶互生，为羽状复叶；果实一样为偏斜的核果,漆树科Anacardiaceae
113,胚珠 2 颗或较多,114
114,灌木或乔木,115
114,草本,116
115,叶互生，极小，呈鳞片状；花瓣和雄蕊均着生花托上,柽柳科Tamaricaceae
115,叶对生，大而显著，花瓣和雄蕊均着生花萼筒上,千屈菜科Lythraceae
116,胎座为特立中央胎座或中轴胎座,117
116,胎座为侧膜胎座,118
117,花瓣着生花萼筒上,千屈菜科Lythraceae
117,花瓣不着生花萼筒上，常有长爪,石竹科Caryophllaceae
118,叶对生，有透明腺点,藤黄科Cuttiferae
118,叶互生或基生，无透明腺点,119
119,雄蕊6枚，4长2短；花瓣4，多有爪；果实为长角果或短角果,十字花科Cruciferae
119,雄蕊 5-10 枚，或多数，非 4 长 2 短,120
